frame,par1,par2,par3,par4,par5,par6,media
6,475.53,,,,,,475.53
8,221.82,,,,,,221.82
9,292.04,,,,,,292.04
10,330.90,,,,,,330.90
11,522.38,266.23,,268.85,,,352.49
15,178.98,,,,,,178.98
16,201.85,,,,,,201.85
17,237.99,,,,,,237.99
18,310.31,,,,,,310.31
19,307.53,,,,,,307.53
20,245.14,,,,,,245.14
21,263.25,,,,,,263.25
22,270.14,,,,,,270.14
23,268.81,,,,,,268.81
24,271.93,,,,,,271.93
25,270.59,,,,,,270.59
26,272.16,,,,,,272.16
27,272.61,,,,,,272.61
28,270.58,,,,,,270.58
29,275.10,,,,,,275.10
30,273.04,,,,,,273.04
31,270.59,,,,,,270.59
32,267.09,,,,,,267.09
33,267.87,,,,,,267.87
34,268.12,,,,,,268.12
35,267.36,,,,,,267.36
36,267.61,,,,,,267.61
37,265.58,,,,,,265.58
38,267.60,,,,,,267.60
39,267.02,,,,,,267.02
40,264.84,,,,,,264.84
41,236.03,,,,,,236.03
42,236.95,,,,,,236.95
43,262.01,,,,,,262.01
44,198.79,,,,,,198.79
45,204.94,,,,,,204.94
46,208.85,,,,,,208.85
47,205.89,,,,,,205.89
48,210.27,,,,,,210.27
49,214.23,,,,,,214.23
50,206.64,,,,,,206.64
51,208.71,,,,,,208.71
52,211.10,,,,,,211.10
53,211.10,,,,,,211.10
54,221.30,,,,,,221.30
55,219.75,,,,,,219.75
56,217.46,,,,,,217.46
57,215.31,,,,,,215.31
58,213.76,,,,,,213.76
59,215.80,,,,,,215.80
60,213.43,,,,,,213.43
61,211.68,,,,,,211.68
62,211.62,,,,,,211.62
63,213.64,,,,,,213.64
64,212.91,,,,,,212.91
65,212.22,,,,,,212.22
66,212.01,,,,,,212.01
67,212.48,,,,,,212.48
68,213.71,,,,,,213.71
69,213.21,,,,,,213.21
70,213.33,,,,,,213.33
71,213.28,,,,,,213.28
72,213.73,,,,,,213.73
73,213.89,,,,,,213.89
74,208.18,,,,,,208.18
75,175.74,,,,,,175.74
76,194.91,,,,,,194.91
77,198.23,,,,,,198.23
78,199.23,,,,,,199.23
79,193.86,,,,,,193.86
80,194.93,,,,,,194.93
81,193.18,,,,,,193.18
82,191.50,,,,,,191.50
83,191.70,,,,,,191.70
84,190.06,,,,,,190.06
85,186.19,,,,,,186.19
86,183.55,,,,,,183.55
87,180.61,,,,,,180.61
88,174.37,,,,,,174.37
89,172.88,,,,,,172.88
90,180.58,,,,,,180.58
91,174.24,,,,,,174.24
92,173.39,,,,,,173.39
93,181.30,,,,,,181.30
94,186.51,,,,,,186.51
95,184.86,,,,,,184.86
96,183.74,,,,,,183.74
97,189.25,,,,,,189.25
98,192.59,,,,,,192.59
99,195.93,,,,,,195.93
100,196.47,,,,,,196.47
101,197.74,,,,,,197.74
102,197.47,,,,,,197.47
103,196.71,,,,,,196.71
104,196.83,,,,,,196.83
105,200.69,,,,,,200.69
106,347.59,213.70,,555.37,,,372.22
107,250.98,,,,,,250.98
108,286.15,284.95,,561.39,,,377.50
109,315.05,,,,,,315.05
110,365.43,,,,,,365.43
111,381.00,,,,,,381.00
112,448.71,,,,,,448.71
113,462.22,,,,,,462.22
114,116.98,161.79,304.73,247.14,203.37,450.17,247.36
115,116.98,161.79,304.73,247.14,203.37,450.17,247.36
116,116.98,161.79,304.73,247.14,203.37,450.17,247.36
117,232.87,,,,,,232.87
118,192.42,,,,,,192.42
120,69.13,,,,,,69.13
121,96.27,,,,,,96.27
122,115.24,,,,,,115.24
123,129.91,321.52,,203.73,,,218.39
124,325.12,180.79,,156.05,,,220.65
125,309.98,166.82,,155.24,,,210.68
126,284.91,147.09,,153.50,,,195.17
127,287.64,140.29,,163.53,,,197.15
128,338.33,189.62,,161.50,,,229.82
129,167.56,347.32,,190.37,,,235.08
130,332.86,188.16,,155.81,,,225.61
131,317.75,137.65,,192.22,,,215.87
132,316.93,,,,,,316.93
133,327.55,147.14,,191.03,,,221.91
134,343.39,162.75,115.51,191.22,264.83,74.68,192.06
135,353.40,172.91,,190.23,,,238.85
136,346.30,166.45,,190.30,,,234.35
137,140.29,313.63,,184.96,,,212.96
138,171.43,291.66,,131.72,,,198.27
139,278.71,133.87,,156.22,,,189.60
140,283.33,146.23,,148.23,,,192.60
141,277.42,148.80,,138.82,,,188.35
142,277.42,148.80,,138.82,,,188.35
143,246.19,139.40,,115.89,,,167.16
144,248.74,116.21,,141.58,,,168.84
145,252.00,143.88,,117.76,,,171.21
146,250.72,120.12,,140.57,,,170.47
147,247.93,139.39,,116.63,,,167.98
148,259.21,148.27,,118.24,,,175.24
149,266.05,145.47,,129.60,,,180.37
150,262.25,134.40,,138.94,,,178.53
151,135.15,263.43,,140.17,,,179.58
152,264.55,142.00,,131.54,,,179.36
153,256.90,146.74,,118.93,,,174.19
154,144.51,242.75,,106.62,,,164.63
155,236.41,132.61,,112.09,,,160.37
156,118.87,115.88,,225.72,,,153.49
157,109.25,226.00,,125.56,,,153.60
158,122.16,253.56,,136.41,,,170.71
159,246.26,143.95,,106.64,,,165.62
160,225.33,126.88,,104.23,,,152.15
161,106.78,208.21,,108.38,,,141.12
162,95.09,205.88,,118.11,,,139.69
163,80.90,133.63,,206.40,,,140.31
164,71.61,205.39,,144.86,,,140.62
165,60.64,204.73,,162.14,,,142.50
166,203.27,,,,,,203.27
167,202.85,,,,,,202.85
168,193.71,,,,,,193.71
169,241.42,105.51,,174.57,,,173.83
170,199.15,145.24,,156.96,,,167.12
172,128.33,,,,,,128.33
174,225.27,139.84,,135.71,,,166.94
175,257.83,157.98,,138.41,,,184.74
176,212.60,322.90,,137.37,,,224.29
177,230.58,345.02,,136.10,,,237.23
178,228.59,345.92,,135.98,,,236.83
179,221.24,342.34,,135.88,,,233.15
180,228.58,136.16,,353.57,,,239.44
181,373.55,257.69,,127.22,,,252.82
182,120.57,290.68,,402.96,,,271.40
183,313.74,119.53,,421.34,,,284.87
184,317.33,419.69,,111.74,,,282.92
185,319.54,120.50,,434.23,,,291.42
186,411.07,292.39,,125.37,,,276.28
187,124.62,252.10,,371.67,,,249.46
188,232.97,128.51,,354.80,,,238.76
189,133.04,233.00,,360.88,,,242.31
190,124.94,363.26,,239.88,,,242.69
191,124.94,363.26,,239.88,,,242.69
192,130.97,218.11,,346.59,,,231.89
193,134.08,211.26,,343.29,,,229.54
194,137.08,335.58,,200.60,,,224.42
195,173.82,141.84,,314.05,,,209.90
196,157.15,139.84,,295.26,,,197.42
197,138.56,298.97,,161.76,,,199.76
198,133.95,162.34,,294.73,,,197.01
199,275.87,134.81,,142.51,,,184.40
200,157.16,109.76,,266.58,,,177.83
201,258.60,68.60,170.94,205.99,88.11,118.79,151.84
202,173.43,65.54,251.30,124.58,77.92,200.95,148.95
203,243.77,171.84,63.93,72.01,194.57,125.40,145.25
204,62.24,169.32,,123.68,,,118.41
205,64.41,,,,,,64.41
206,64.56,,,,,,64.56
207,65.74,174.76,,125.75,,,122.08
212,143.34,,,,,,143.34
213,113.78,,,,,,113.78
214,111.19,,,,,,111.19
215,105.42,,,,,,105.42
216,84.60,,,,,,84.60
218,66.97,,,,,,66.97
227,85.12,,,,,,85.12
231,67.30,,,,,,67.30
234,119.00,,,,,,119.00
235,149.60,85.61,,65.57,,,100.26
236,158.18,,,,,,158.18
237,129.65,,,,,,129.65
238,81.35,,,,,,81.35
239,109.34,,,,,,109.34
240,73.72,153.73,,80.03,,,102.49
241,186.47,110.71,,75.87,,,124.35
242,126.66,223.81,,97.37,,,149.28
243,225.65,127.23,,98.63,,,150.50
244,226.95,129.87,,97.33,,,151.38
245,231.68,125.60,,107.07,,,154.78
246,232.74,127.48,,105.92,,,155.38
247,120.01,239.71,,120.30,,,160.01
248,248.39,,,,,,248.39
249,254.70,124.30,,130.65,,,169.88
250,251.58,126.99,,124.96,,,167.84
251,132.98,246.76,,114.08,,,164.61
252,134.17,118.99,,252.49,,,168.55
253,102.96,143.93,147.21,40.98,248.71,289.48,162.21
254,181.06,257.76,,77.45,,,172.09
255,78.17,259.11,,181.08,,,172.79
256,71.78,186.22,,258.00,,,172.00
257,190.04,,,,,,190.04
258,177.20,,,,,,177.20
259,170.81,232.16,,63.90,,,155.62
260,65.92,209.07,,144.20,,,139.73
261,67.12,128.48,,193.82,,,129.81
262,172.00,,,,,,172.00
263,165.48,,,,,,165.48
264,127.66,,,,,,127.66
265,108.30,170.32,,79.89,,,119.50
266,169.16,84.87,,105.65,,,119.89
267,126.56,,,,,,126.56
269,170.71,,,,,,170.71
270,170.54,,,,,,170.54
274,160.68,78.45,,82.32,,,107.15
275,163.23,84.73,,78.66,,,108.87
276,153.66,90.80,,63.25,,,102.57
277,144.75,88.78,,56.25,,,96.59
278,74.35,137.86,,63.61,,,91.94
280,61.22,,,,,,61.22
282,96.01,184.15,,88.15,,,122.77
283,96.01,184.15,,88.15,,,122.77
284,96.01,184.15,,88.15,,,122.77
285,102.33,159.31,,57.34,,,106.33
286,79.36,,,,,,79.36
288,56.76,,,,,,56.76
289,54.80,,,,,,54.80
290,66.20,,,,,,66.20
291,64.67,,,,,,64.67
292,69.72,,,,,,69.72
293,72.92,,,,,,72.92
