frame,person,x,y
13,1,0.6937,0.7806
14,1,0.7768,0.8196
15,1,0.7768,0.8196
16,1,0.9050,0.8006
17,1,0.9050,0.8006
105,1,0.9279,0.7914
106,1,0.8869,0.7856
107,1,0.8869,0.7856
108,1,0.8089,0.7633
109,1,0.7897,0.7488
110,1,0.7897,0.7488
111,1,0.7010,0.7733
112,1,0.7030,0.7709
113,1,0.7067,0.7477
114,1,0.7067,0.7477
115,1,0.7067,0.7477
116,1,0.6703,0.7657
117,1,0.6030,0.7359
118,1,0.5694,0.7081
119,1,0.5694,0.7081
120,1,0.5469,0.7096
121,1,0.5469,0.7096
122,1,0.5258,0.6863
123,1,0.5015,0.6827
124,1,0.4864,0.6821
125,1,0.4832,0.6985
126,1,0.4830,0.7075
127,1,0.4828,0.6857
128,1,0.4603,0.6998
129,1,0.4320,0.6949
130,1,0.4320,0.6949
131,1,0.4320,0.6949
132,1,0.4117,0.6966
133,1,0.4015,0.6936
134,1,0.4008,0.6900
135,1,0.4008,0.6900
136,1,0.3932,0.6738
137,1,0.3664,0.6670
138,1,0.3490,0.6627
139,1,0.3445,0.6580
140,1,0.3499,0.6464
141,1,0.3466,0.6424
142,1,0.3466,0.6424
143,1,0.3105,0.6414
144,1,0.3052,0.6349
145,1,0.3115,0.6286
146,1,0.3115,0.6286
147,1,0.3119,0.6309
148,1,0.3045,0.6233
149,1,0.2908,0.6212
150,1,0.2908,0.6212
151,1,0.2741,0.6172
152,1,0.2691,0.6124
153,1,0.2691,0.6124
154,1,0.2748,0.6013
155,1,0.2749,0.5973
156,1,0.2713,0.6027
157,1,0.2713,0.6027
158,1,0.2665,0.6039
159,1,0.2562,0.6008
160,1,0.2482,0.6016
161,1,0.2431,0.5922
162,1,0.2526,0.5887
163,1,0.2586,0.5827
164,1,0.2639,0.5769
165,1,0.2639,0.5769
166,1,0.2640,0.5801
167,1,0.2640,0.5801
168,1,0.2476,0.5744
169,1,0.2431,0.5750
170,1,0.2464,0.5681
171,1,0.2464,0.5681
172,1,0.2623,0.5672
173,1,0.2664,0.5642
174,1,0.2606,0.5665
175,1,0.2606,0.5665
176,1,0.2563,0.5637
177,1,0.2510,0.5638
178,1,0.2502,0.5645
179,1,0.2520,0.5616
180,1,0.2609,0.5605
181,1,0.2704,0.5608
182,1,0.2734,0.5621
183,1,0.2724,0.5609
184,1,0.2672,0.5573
185,1,0.2646,0.5588
186,1,0.2624,0.5598
187,1,0.2624,0.5598
188,1,0.2653,0.5582
189,1,0.2738,0.5587
190,1,0.2845,0.5569
191,1,0.2928,0.5584
192,1,0.2936,0.5572
192,2,0.7434,0.7824
193,1,0.2936,0.5572
193,2,0.7434,0.7824
194,1,0.2936,0.5572
194,2,0.7434,0.7824
195,1,0.2851,0.5526
196,1,0.2830,0.5528
197,1,0.2812,0.5496
198,1,0.2812,0.5496
199,1,0.2827,0.5508
200,1,0.2827,0.5508
201,1,0.2947,0.5433
202,1,0.3031,0.5430
203,1,0.3071,0.5504
204,1,0.3071,0.5504
205,1,0.3064,0.5570
206,1,0.3055,0.5523
207,1,0.3055,0.5523
208,1,0.3060,0.5500
209,1,0.3055,0.5488
210,1,0.3025,0.5406
211,1,0.3026,0.5371
212,1,0.3040,0.5418
213,1,0.3030,0.5404
214,1,0.3021,0.5391
215,1,0.3021,0.5391
216,1,0.3021,0.5391
217,1,0.2833,0.5350
218,1,0.2656,0.5306
219,1,0.2661,0.5290
220,1,0.2661,0.5290
221,1,0.2789,0.5261
222,1,0.2789,0.5247
223,1,0.2806,0.5251
224,1,0.2821,0.5268
225,1,0.2821,0.5268
226,1,0.2821,0.5268
227,1,0.2679,0.5198
228,1,0.2690,0.5205
229,1,0.2690,0.5205
230,1,0.2771,0.5225
230,2,0.7126,0.7753
231,1,0.7662,0.8295
231,2,0.2798,0.5221
232,1,0.7638,0.8239
232,2,0.2814,0.5220
233,1,0.2820,0.5255
234,1,0.2820,0.5255
235,1,0.2816,0.5199
236,1,0.2816,0.5199
237,1,0.2819,0.5247
238,1,0.2819,0.5247
239,1,0.2826,0.5274
240,1,0.2804,0.5236
241,1,0.2827,0.5267
242,1,0.2862,0.5280
243,1,0.2868,0.5315
244,1,0.2868,0.5315
246,1,0.2819,0.5370
247,1,0.2840,0.5340
248,1,0.2840,0.5340
249,1,0.3099,0.9179
249,2,0.2900,0.5413
250,1,0.3099,0.9179
250,2,0.2900,0.5413
251,1,0.3202,0.9298
251,2,0.2911,0.5465
252,1,0.3168,0.9397
252,2,0.2879,0.5497
253,1,0.3168,0.9397
253,2,0.2879,0.5497
254,1,0.3156,0.9443
254,2,0.2962,0.5463
255,1,0.3183,0.9415
255,2,0.2999,0.5439
260,1,0.3085,0.5429
261,1,0.3085,0.5429
262,1,0.3075,0.5379
263,1,0.3075,0.5379
265,1,0.3206,0.5583
266,1,0.3304,0.5555
267,1,0.3304,0.5555
268,1,0.3364,0.5541
269,1,0.3401,0.5477
270,1,0.3401,0.5477
271,1,0.3401,0.5401
274,1,0.3490,0.5625
275,1,0.3490,0.5625
276,1,0.3490,0.5625
277,1,0.3543,0.5721
278,1,0.3561,0.5776
279,1,0.3672,0.5721
279,2,0.3303,0.9098
280,1,0.3273,0.8913
281,1,0.3273,0.8913
282,1,0.7207,0.7783
283,1,0.7147,0.7694
283,2,0.3745,0.6018
286,1,0.3699,0.6336
287,1,0.3699,0.6336
308,1,0.3785,0.8376
312,1,0.3834,0.8333
313,1,0.3858,0.8372
314,1,0.3858,0.8372
316,1,0.3772,0.8344
317,1,0.3787,0.8391
318,1,0.3787,0.8391
355,1,0.6067,0.7594
356,1,0.6067,0.7594
363,1,0.6403,0.7160
379,1,0.6695,0.7570
398,1,0.6523,0.7356
399,1,0.6523,0.7356
410,1,0.5982,0.6993
411,1,0.5950,0.6956
417,1,0.5705,0.7015
418,1,0.5705,0.7015
427,1,0.2670,0.5701
431,1,0.2644,0.5679
432,1,0.2644,0.5679
434,1,0.5012,0.7229
437,1,0.2673,0.5663
438,1,0.2659,0.5684
451,1,0.5427,0.7626
463,1,0.6030,0.7959
464,1,0.6108,0.7834
465,1,0.6162,0.7867
476,1,0.3172,0.7022
477,1,0.3172,0.7022
481,1,0.3571,0.6536
482,1,0.3571,0.6536
499,1,0.4230,0.7163
509,1,0.8078,0.7967
510,1,0.8078,0.7967
511,1,0.3876,0.7736
515,1,0.4088,0.7626
516,1,0.4088,0.7626
517,1,0.4088,0.7626
520,1,0.4238,0.7756
521,1,0.4238,0.7756
533,1,0.7920,0.8221
540,1,0.4628,0.7877
541,1,0.4628,0.7877
542,1,0.4628,0.7877
550,1,0.6873,0.8727
551,1,0.6873,0.8727
562,1,0.6475,0.8171
610,1,0.5870,0.8129
611,1,0.5870,0.8129
630,1,0.2209,0.8818
636,1,0.4803,0.8845
637,1,0.4803,0.8845
638,1,0.4768,0.8821
639,1,0.4611,0.8916
640,1,0.4346,0.8885
641,1,0.1478,0.8479
642,1,0.1459,0.8345
643,1,0.1459,0.8345
656,1,0.1412,0.7670
657,1,0.1412,0.7670
658,1,0.3582,0.8027
658,2,0.1721,0.7574
659,1,0.1663,0.7718
663,1,0.3764,0.8050
665,1,0.3877,0.6798
666,1,0.3951,0.7006
667,1,0.3981,0.7502
668,1,0.3981,0.7502
692,1,0.3735,0.6596
696,1,0.3873,0.7613
717,1,0.3911,0.8023
718,1,0.3911,0.8023
735,1,0.2313,0.8565
740,1,0.7026,0.8682
741,1,0.6973,0.8717
746,1,0.2981,0.8188
747,1,0.7572,0.8530
787,1,0.4305,0.7977
791,1,0.1162,0.7569
792,1,0.1278,0.7048
793,1,0.1510,0.6886
794,1,0.1623,0.6953
795,1,0.1623,0.6953
796,1,0.1612,0.6830
797,1,0.1612,0.6830
798,1,0.1572,0.6683
799,1,0.1572,0.6683
800,1,0.1604,0.7071
801,1,0.1586,0.7347
802,1,0.1535,0.7474
807,1,0.1442,0.7229
808,1,0.1442,0.7229
809,1,0.1318,0.7340
829,1,0.0746,0.6926
830,1,0.0578,0.6863
834,1,0.0568,0.7031
836,1,0.5236,0.8260
837,1,0.5236,0.8260
849,1,0.5233,0.8325
849,2,0.3175,0.7464
850,1,0.5154,0.8501
850,2,0.3280,0.7257
851,1,0.5154,0.8501
851,2,0.3280,0.7257
854,1,0.5381,0.8527
859,1,0.4683,0.7533
860,1,0.4683,0.7533
861,1,0.4414,0.8200
878,1,0.0425,0.7998
888,1,0.5545,0.8172
889,1,0.5545,0.8172
900,1,0.6185,0.8490
910,1,0.4653,0.7509
946,1,0.0557,0.6961
952,1,0.4360,0.8227
953,1,0.4360,0.8227
964,1,0.0853,0.7008
975,1,0.0824,0.7045
980,1,0.6328,0.8922
980,2,0.3238,0.7690
981,1,0.6779,0.8237
982,1,0.6861,0.8633
983,1,0.6861,0.8633
984,1,0.6946,0.8822
997,1,0.7120,0.9213
997,2,0.3369,0.7301
998,1,0.7120,0.9213
998,2,0.3369,0.7301
999,1,0.3438,0.6831
1000,1,0.7270,0.9214
1000,2,0.3313,0.6914
1001,1,0.3118,0.8488
1001,2,0.7339,0.8940
1002,1,0.3118,0.8488
1002,2,0.7339,0.8940
1003,1,0.7256,0.9000
1003,2,0.3079,0.8727
1004,1,0.3045,0.8802
1005,1,0.3059,0.8713
1006,1,0.7184,0.8861
1007,1,0.7184,0.8861
1008,1,0.7184,0.8861
1009,1,0.7332,0.8669
1009,2,0.3112,0.8582
1010,1,0.7169,0.8603
1010,2,0.3135,0.8489
1011,1,0.7093,0.8534
1011,2,0.3053,0.8620
1012,1,0.7093,0.8534
1012,2,0.3053,0.8620
1013,1,0.7093,0.8534
1013,2,0.3053,0.8620
1014,1,0.3138,0.8577
1015,1,0.3138,0.8577
1016,1,0.0761,0.6820
1017,1,0.0761,0.6820
1018,1,0.6741,0.8212
1018,2,0.0841,0.6733
1019,1,0.1039,0.6699
1019,2,0.6657,0.8234
1020,1,0.0993,0.6392
1020,2,0.3272,0.8275
1020,3,0.6585,0.8277
1032,1,0.4237,0.7968
1033,1,0.4237,0.7968
1034,1,0.4233,0.7840
1035,1,0.4351,0.7730
1036,1,0.4492,0.7869
1042,1,0.1084,0.8268
1043,1,0.4994,0.7777
1048,1,0.5419,0.6707
1049,1,0.5386,0.5871
1050,1,0.5386,0.5871
1051,1,0.5473,0.5789
1052,1,0.5473,0.5789
1053,1,0.1815,0.6842
1054,1,0.1815,0.6842
1055,1,0.1815,0.6842
1057,1,0.5476,0.5628
1057,2,0.2004,0.6431
1058,1,0.1993,0.5800
1058,2,0.5495,0.5661
1059,1,0.1993,0.5800
1059,2,0.5495,0.5661
1060,1,0.1813,0.5710
1060,2,0.5319,0.5652
1061,1,0.1465,0.5733
1061,2,0.5058,0.5708
1062,1,0.1329,0.5777
1062,2,0.4981,0.5693
1063,1,0.1223,0.5805
1063,2,0.4861,0.5643
1064,1,0.1223,0.5805
1064,2,0.4861,0.5643
1065,1,0.1223,0.5805
1065,2,0.4861,0.5643
1066,1,0.0644,0.6026
1066,2,0.4572,0.5762
1067,1,0.0535,0.6247
1068,1,0.0500,0.6203
1069,1,0.0500,0.6203
1070,1,0.0619,0.6351
1070,2,0.4078,0.5676
1071,1,0.0619,0.6351
1071,2,0.4078,0.5676
1072,1,0.1190,0.6548
1073,1,0.1489,0.6609
1074,1,0.1845,0.6783
1075,1,0.2233,0.6945
1079,1,0.3951,0.6894
1079,2,0.2740,0.5449
1080,1,0.4644,0.6787
1080,2,0.2652,0.5418
1081,1,0.2746,0.5421
1081,2,0.5240,0.6718
1082,1,0.5707,0.6540
1082,2,0.2592,0.5416
1083,1,0.5795,0.6429
1083,2,0.2525,0.5361
1084,1,0.5718,0.6395
1084,2,0.2528,0.5396
1085,1,0.5466,0.6207
1085,2,0.2450,0.5419
1086,1,0.5328,0.6169
1086,2,0.2439,0.5409
1087,1,0.5328,0.6169
1087,2,0.2439,0.5409
1088,1,0.5277,0.6211
1088,2,0.2445,0.5402
1089,1,0.5401,0.6307
1089,2,0.2475,0.5392
1090,1,0.5408,0.5895
1090,2,0.2486,0.5408
1091,1,0.5402,0.5924
1091,2,0.2503,0.5386
1092,1,0.5364,0.6133
1092,2,0.2455,0.5377
1093,1,0.5354,0.6098
1093,2,0.2453,0.5342
1094,1,0.5200,0.5949
1094,2,0.2391,0.5329
1095,1,0.5200,0.5949
1095,2,0.2391,0.5329
1096,1,0.4625,0.5938
1096,2,0.2248,0.5368
1097,1,0.4625,0.5938
1097,2,0.2248,0.5368
1098,1,0.2364,0.5292
1098,2,0.4304,0.5730
1099,1,0.4042,0.5594
1099,2,0.2093,0.5583
1100,1,0.4028,0.5624
1100,2,0.1961,0.5575
1101,1,0.4014,0.5591
1101,2,0.2104,0.5577
1102,1,0.4059,0.5591
1102,2,0.2067,0.5600
1103,1,0.4116,0.5667
1103,2,0.2048,0.5622
1104,1,0.4116,0.5667
1104,2,0.2048,0.5622
1105,1,0.3880,0.5699
1105,2,0.2052,0.5589
1106,1,0.3880,0.5699
1106,2,0.2052,0.5589
1107,1,0.3893,0.5708
1107,2,0.2094,0.5657
1108,1,0.3893,0.5708
1108,2,0.2094,0.5657
1109,1,0.3931,0.5716
1109,2,0.2080,0.5625
1110,1,0.2026,0.5573
1111,1,0.3884,0.5704
1111,2,0.2030,0.5568
1112,1,0.3884,0.5704
1112,2,0.2030,0.5568
1113,1,0.3858,0.5692
1113,2,0.2027,0.5597
1114,1,0.2040,0.5580
1114,2,0.3936,0.5725
1115,1,0.4009,0.5771
1115,2,0.2048,0.5592
1116,1,0.4009,0.5771
1116,2,0.2048,0.5592
1117,1,0.3989,0.5804
1117,2,0.2027,0.5621
1118,1,0.3967,0.5763
1118,2,0.2125,0.5627
1119,1,0.3961,0.5756
1119,2,0.2158,0.5641
1120,1,0.3997,0.5797
1120,2,0.2141,0.5635
